IssueKey,Summary,MITRE
DETE-1,CSV-IMPORT,T1548 Abuse Elevation Control Mechanism -> T1548.002 Abuse Elevation Control Mechanism: Bypass User Account Control
DETE-1,CSV-IMPORT,T1548 Abuse Elevation Control Mechanism -> T1548.004 Abuse Elevation Control Mechanism: Elevated Execution with Prompt
DETE-1,CSV-IMPORT,T1548 Abuse Elevation Control Mechanism -> T1548.001 Abuse Elevation Control Mechanism: Setuid and Setgid
DETE-1,CSV-IMPORT,T1548 Abuse Elevation Control Mechanism -> T1548.003 Abuse Elevation Control Mechanism: Sudo and Sudo Caching
DETE-1,CSV-IMPORT,T1548 Abuse Elevation Control Mechanism -> T1548.006 Abuse Elevation Control Mechanism: TCC Manipulation
DETE-1,CSV-IMPORT,T1548 Abuse Elevation Control Mechanism -> T1548.005 Abuse Elevation Control Mechanism: Temporary Elevated Cloud Access
DETE-1,CSV-IMPORT,T1134 Access Token Manipulation -> T1134.002 Access Token Manipulation: Create Process with Token
DETE-1,CSV-IMPORT,T1134 Access Token Manipulation -> T1134.003 Access Token Manipulation: Make and Impersonate Token
DETE-1,CSV-IMPORT,T1134 Access Token Manipulation -> T1134.004 Access Token Manipulation: Parent PID Spoofing
DETE-1,CSV-IMPORT,T1134 Access Token Manipulation -> T1134.005 Access Token Manipulation: SID-History Injection
DETE-1,CSV-IMPORT,T1134 Access Token Manipulation -> T1134.001 Access Token Manipulation: Token Impersonation/Theft
DETE-1,CSV-IMPORT,T1087 Account Discovery -> T1087.004 Account Discovery: Cloud Account
DETE-1,CSV-IMPORT,T1087 Account Discovery -> T1087.002 Account Discovery: Domain Account
DETE-1,CSV-IMPORT,T1087 Account Discovery -> T1087.003 Account Discovery: Email Account
DETE-1,CSV-IMPORT,T1087 Account Discovery -> T1087.001 Account Discovery: Local Account
DETE-1,CSV-IMPORT,T1098 Account Manipulation -> T1098.001 Account Manipulation: Additional Cloud Credentials
DETE-1,CSV-IMPORT,T1098 Account Manipulation -> T1098.003 Account Manipulation: Additional Cloud Roles
DETE-1,CSV-IMPORT,T1098 Account Manipulation -> T1098.006 Account Manipulation: Additional Container Cluster Roles
DETE-1,CSV-IMPORT,T1098 Account Manipulation -> T1098.002 Account Manipulation: Additional Email Delegate Permissions
DETE-1,CSV-IMPORT,T1098 Account Manipulation -> T1098.007 Account Manipulation: Additional Local or Domain Groups
DETE-1,CSV-IMPORT,T1098 Account Manipulation -> T1098.005 Account Manipulation: Device Registration
DETE-1,CSV-IMPORT,T1098 Account Manipulation -> T1098.004 Account Manipulation: SSH Authorized Keys
DETE-1,CSV-IMPORT,T1583 Acquire Infrastructure -> T1583.005 Acquire Infrastructure: Botnet
DETE-1,CSV-IMPORT,T1583 Acquire Infrastructure -> T1583.002 Acquire Infrastructure: DNS Server
DETE-1,CSV-IMPORT,T1583 Acquire Infrastructure -> T1583.001 Acquire Infrastructure: Domains
DETE-1,CSV-IMPORT,T1583 Acquire Infrastructure -> T1583.008 Acquire Infrastructure: Malvertising
DETE-1,CSV-IMPORT,T1583 Acquire Infrastructure -> T1583.004 Acquire Infrastructure: Server
